Title,Description,Contributor #1,Contributor #2,Contributor #3,Issue #,Issue,Year,Page,Subject 1,Subject 2,Subject 3,Subject 4,Subject 5,Link to Buy it Now
Bellflowers and Beads,Making any kind of a reproduction is a challenge.,"Clarkson, Ron",,,2,Winter/Spring,1998,46-49,Book Excerpts,Furniture,Floral,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-2-winter-spring-1998.html
Cane Corner,Hershal Borders: Canes With A Theme,"Stellhorn, Ayleen",,,2,Winter/Spring,1998,50-53,Canes,Walking Sticks,Practical,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-2-winter-spring-1998.html
Desiree Hajny: A Life In Transition,An overview of our very own Contributing Editor's work and recognition in the fine art market.,"Hajny, Desiree",,,2,Winter/Spring,1998,54-59,People,Animals,Artist Profile,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-2-winter-spring-1998.html
Carving Facial Expressions,An excerpt from Ian Norbury's new book.,"Norbury, Ian",,,2,Winter/Spring,1998,65-69,Book Excerpts,Faces,Realistic,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-2-winter-spring-1998.html
Carving Pattern: Mountain Lion,Beauty and gracefulness hardly describes this hunter of the wilds.,"Lehman, George",,,2,Winter/Spring,1998,70-71,Book Excerpts,Animals,Mountain lion,Pattern Profiles,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-2-winter-spring-1998.html
Cottonwood Spirits,All About Cottonwood.,"Buchanan, Joyce",,,2,Winter/Spring,1998,72-73,Bark Carving,Miscellaneous,Wood Spirits,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-2-winter-spring-1998.html
Carving a Hummingbird Pin,"Better known for their highly detailed bird carvings, Chuck Solomon &amp; Dave Hamilton present a simple pattern to get you started.","Solomon, Charles","Hamilton, David",,2,Winter/Spring,1998,74-77,Pins,Birds,Step by Step,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-2-winter-spring-1998.html
The Chess Museum,"CCA member, Dave Stetson, appraises the techniques of the old-time masters for today's carvers.","Schroeder, Roger",,,2,Winter/Spring,1998,78-81,Museums,Chess,Artist Profile,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-2-winter-spring-1998.html
Learning From The Masters,"A bear, two deer, a St. Bernard, and an owl.","Stetson, Dave",,,2,Winter/Spring,1998,82-86,Animals,Woodland,Creatures,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-2-winter-spring-1998.html
Carving a Folk Fish,Mike Yanelli is building a strong reputation as a folk artist.,"Yanelli, Mike",,,3,Summer,1998,15-20,Fish,Trout,Step by Step,,,
Saint-Jean Port-Joli: Quebec's Carving Capital,Explore the rich carving history of this small Canadian town.,"Schroeder, Roger",,,3,Summer,1998,21-25,In-the-round,Canada,Scenic,,,
Carving and Painting a Realistic Daffodil with Dave Sabol,David brings a daffodil out of a piece of freshly cut white pine.,"Sabol, David",,,3,Summer,1998,26-31,Flowers,Realistic,Summer,,,
Remembering Tange,"Elmer J Tangerman, a tribute to the visionary of popular woodworking.","Schroeder, Roger",,,3,Summer,1998,32-34,People,Tribute,Artist Profile,,,
How to Carve Eyes,"The basics to carving an eye are one thing, but making the eye interact with all that the face must do to create expression requires knowledge of the entire face.","Russell, Frank C",,,3,Summer,1998,36-40,Eyes,People,Realistic,,,
Golfer Pattern,"Carver profiles and pattern referenced for intermediate carvers. Meet Bill Howrilla, caricature cartoonist and carver and he'll show you how to make his whimsical golfer.","Howrilla, Bill",,,3,Summer,1998,41-43,Pattern Profiles,Golf,People,Caricatures,,
Cane Corner,In stride with the American National Cane Club.,WCI Staff,,,3,Summer,1998,44-45,Canes,Walking Sticks,Artist Profile,,,
Painting the Cardinal - Part 2 in a Series,"In the first part of this article (Winter/Spring 1998) I showed you how to carve a cardinal from start to finish. Now, I'll show you the tips and techniques I use to paint my cardinal carvings.","Doherty, Paul",,,3,Summer,1998,46-52,Painting Techniques,Birds,Cardinal,,,
Cover Feature: Portraits in Wood,Carver Armand LaMontange: A look into this carver's gallery of life-sized celebrity replicas.,"Schroeder, Roger",,,3,Summer,1998,53-60,People,Realistic Figures,Technique,,,
A Chip Carving Primer,Roger Nancoz's definitive step-by-step guide to getting started in chip carving.,"Nancoz, Roger",,,3,Summer,1998,66-75,Chip Carving,Step-by-step,Artist Profile,,,
Learning from the Master - Part 2,"Dave Stetson, president of the Caricature Carvers of America, puts a critical eye to four carvings.","Stetson, Dave",,,3,Summer,1998,76-79,Animals,People,Artist Profile,,,
Carving Fish Heads,Ed Walicki shows you how how to achieve a detailed head (without using your own).,"Walicki, Ed",,,3,Summer,1998,80-87,Fish,Realistic,Fishing,,,
Eagle Portrait,"The Eagle, excerpt from Bill Hudt's new book.","Judt, Bill (W.F.)",,,3,Summer,1998,89-92,Relief Carving,Birds,Avian,,,
Artistry in Wood,"""Everything under the sun"" woodworking show.",WCI Staff,,,4,Fall,1998,44-45,Artistry in Wood,Carving Show,Highlights,,,
Carving Contest Mania,Exciting to enter and win!,WCI Staff,,,4,Fall,1998,14,Contests,Rules,Regulations,,,
Creating Mood with Texture and Color,Desiree Hajny examines the art of creating expressions.,"Hajny, Desiree",,,4,Fall,1998,17-19,People,Fur,Texture,,,
The Thrill of the Ward,Check out what it takes to be a World Winner.,WCI Staff,,,4,Fall,1998,22-27,Championships,Winners,Ward World,,,
Cane Corner,"Carve your own Hobo Bidlestiff, complete with pattern and authentic RR logos.","Maxwell, Jim",,,4,Fall,1998,29-32,Pattern Profiles,Railroad Logos,Canes,Hobos,,
A Sharper Edge,Tips from a professional sharpener.,"Yorburg, Bob",,,4,Fall,1998,34-37,Sharpening,Tools,Safety,,,
On the Road,New Feature: Spot an UNUSUAl carving while taking that family road trip? Snap a photo and send it to us with an accompanying description. Perhaps we'll publish it to share with your fellow carvers!,WCI Staff,,,4,Fall,1998,38,On The Road,Artist Profile,Tips,,,
Carving a Ghost,"No tricks! Ivan Whillock's easy-to-carve pattern turns this costumed ""ghoul"" into a treat for any Halloween.","Whillock, Ivan",,,4,Fall,1998,40-41,Holidays,Halloween,Ghost,Pattern Profiles,,
How to Carve a Deer Relief Peg Rack,Dave Sabol shows you how to make this attractive peg rack.,"Sabol, David",,,4,Fall,1998,44-55,Step by Step,Pattern Profiles,Relief Carving,Animals,Deer,
Carving Spoons,They're not just for serving food anymore. Excerpts from Shirley Adler's book on decorative spoon carving.,"Adler, Shirley",,,4,Fall,1998,58-64,Spoons,Book Excerpts,Pattern Profile,,,
Pattern Profile: Five Miniature Santas,"Carving mini Santas from hillbilly country to medieval Europe, five miniature Santa patterns from one talented Pennsylvania carver.","Shoemaker, Art",,,4,Fall,1998,65-69,Holidays,Santas,Pattern Profile,,,
Charles Jobes: Decoy Maker,Learn the secrets to making great-looking decoys.,"Schroeder, Roger",,,4,Fall,1998,70-77,Decoys,"Projects, Step by Step",Ducks,,,
Carving A Tagua Nut Name Stamp,Create your own personal stamp from this popular carving material.,"Mignone, John",,,4,Fall,1998,78-83,Step by Step,Stamps,Miscellaneous,,,
Name Tag Contest,What's in a name? About $100 and a free two-year subscription to Wood Carving Illustrated. Look for our rules to enter.,WCI Staff,,,4,Fall,1998,87,Contests,Rules,Regulations,,,
Cane Corner,We Review an interesting new book from across the pond.,"Jones, Andrew","George, Clive",,5,Christmas,1998,106-107,Canes,Pattern Profiles,Animals,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-5-holiday-1998.html
Villa Maria Wood Carvers,A treasure of instruction in the Midwest.,"Schroeder, Roger &amp; Sheila",,,5,Christmas,1998,14-15,People,Tips,Artist Profile,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-5-holiday-1998.html
Carver's Open House,"You're invited to our 2nd Open House! Free admission, contests, tools and carving demonstrations. Don't miss it!",WCI Staff,,,5,Christmas,1998,17,Fox Chapel's Open House,,Celebration,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-5-holiday-1998.html
Getting Your Feet Wet: Some Fish Carving Basics,"Dive into carving your own fish, plus tips on packing carvings for shipping.","McKenzie, Ray",,,5,Christmas,1998,19-22,Step by Step,Fish,Basics,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-5-holiday-1998.html
Toothpick Carver,"Bob Shamey brings new meaning to the word ""miniature"" with his carvings.","Chow, Naomi",,,5,Christmas,1998,24-25,Miscellaneous,Toothpick,Technique,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-5-holiday-1998.html
Poor Man's Contest Winner,"For $20 and an hour of your time, you can make our ""1757"" carving vise.",WCI Staff,,,5,Christmas,1998,26-28,Tools,Contests,Rules,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-5-holiday-1998.html
Tool Grinding For Wood Carvers,Tool Grinding for Wood Carvers by Ian Kirby - What to look for when selecting a grinder and grinding wheels. Techniques for different tool profiles.,"Kirby, Ian",,,5,Christmas,1998,30-33,Sharpening,Tools,Tips,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-5-holiday-1998.html
Air Tools,An introduction Wood Carvers by Greg Krockta,"Krockta, Greg",,,5,Christmas,1998,38-40,Tools,Tips,Artist Profile,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-5-holiday-1998.html
Santa from Around the World &amp; Across the Ages,"Old St. Nick, Father Christmas, Pere Noel, Julesvan - Santa Claus has a rich and varied history around the world. Art Shoemaker shares his research into the history and design of different version, plus a pattern for the Norwegian Julesvan.","Shoemaker, Art",,,5,Christmas,1998,43-47,Pattern Profiles,Santa,Holidays,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-5-holiday-1998.html
Carving the Acanthus Leaf: The Secret to Knowing Your Tool Profiles,Try your hand at this classic design.,"Szentgyogyi, Ernest",,,5,Christmas,1998,49-52,"Projects, Step by Step",Acanthus,Traditional,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-5-holiday-1998.html
Carve Your Own Gnome,A step-by-step class to carve your own little guy.,"Kraus, Lyle",,,5,Christmas,1998,54-62,Gnomes,Pattern Profiles,"Projects, Step by Step",,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-5-holiday-1998.html
Carving a Woman's Face,The beauty comes with versatile cuts.,"Oar, Ross",,,5,Christmas,1998,63-69,Step by Step,Pattern Profiles,Face,People,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-5-holiday-1998.html
Carving Roscoe,Detailed step-steps on how to carve &amp; paint this country caricature.,"Shipley, Mike",,,5,Christmas,1998,70-79,Step by Step,Pattern Profiles,Painting Techniques,Caricatures,People,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-5-holiday-1998.html
"Getting a Hold on Woodcarving, Making a Drawer Pull",This small project will help develop new carving skills.,"Schembri, Joseph",,,5,Christmas,1998,80-85,Step by Step,Pattern Profiles,Drawer Pulls,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-5-holiday-1998.html
Carving the American Bison,This bison project was presented as a 1998 seminar at Stonegate Woodcarving School.,"Russell, Frank",,,5,Christmas,1998,86-90,Step by Step,Pattern Profiles,Animals,Bison,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-5-holiday-1998.html
Museum of Woodcarving,A sneak preview of the collection.,WCI Staff,,,5,Christmas,1998,96,Museums,Gallery,History,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-5-holiday-1998.html
Making a carver's Skew Chisel,"Ray Larsen is the master smith at the Genuine Forgery in Hanover, MA.","Larsen, Ray",,,5,Christmas,1998,97-102,Tools,Tips,Artist Profile,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-5-holiday-1998.html
Selling Your Carvings,A New book offers valuable advice.,WCI Staff,,,6,Winter,1999,11,Book Excerpts,Tips,Business Advice,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-6-winter-1999.html
WCI's Open House - You're Invited!,Check out the information for and directions to our 2nd Open House.,WCI Staff,,,6,Winter,1999,11/13/2014,Fox Chapel's Open House,,Celebration,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-6-winter-1999.html
Carving An Iris - Dave Sabol,"Learn how to carve this ""rainbow"" flower.","Sabol, David",,,6,Winter,1999,14-21,"Projects, Step by Step",Pattern Profiles,Flowers,Painting Techniques,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-6-winter-1999.html
Earth Mother Of The Mohicans The Medicine Woman,Take a look at Armand LaMontagne's life-size sculpture of Gladys Tanatquidgeons.,"Schroeder, Roger",,,6,Winter,1999,24-29,Indians,People,Sculptures,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-6-winter-1999.html
Fox Chapel's Carving Museum,"Managing Editor, Roger Schroeder, shares his carving collection.","Schroeder, Roger",,,6,Winter,1999,30-35,Museums,Gallery,History,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-6-winter-1999.html
Carving Fitz the Leprechan,This whimsical shelf sitter is sure to bring you the luck of the Irish.,"Hull, Joel",,,6,Winter,1999,40-47,"Projects, Step by Step",Pattern Profiles,Holidays,Leprechan,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-6-winter-1999.html
Readers' Survey,Answer some questions and you may win a prize,WCI Staff,,,6,Winter,1999,49,Survey,Contest,Winner,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-6-winter-1999.html
Soft Feather Texturing,Frank Russell demontrates the art of carving realistic feathers.,"Russell, Frank",,,6,Winter,1999,51-54,Textures,Birds,Feathers,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-6-winter-1999.html
Professional Doll Making: The Art of Michael Langton,Creating life-like dolls is Michael Langton's specialty.,"Ryan, Kathleen",,,6,Winter,1999,57-60,Dolls,People,Artist Profile,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-6-winter-1999.html
Layering and Blending Feathers: Techniques for Painting Wildfowl,Carol Happley makes painting feathers on wildfowl.,"Happley, Carol",,,6,Winter,1999,62-66,Painting Techniques,Birds,Feathers,"Projects, Step by Step",,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-6-winter-1999.html
Painting a Rainbow trout,Learn airbrushing techniques from experts Ed Walickiand and Tom Wolf,"Walicki, Tom","Wolf, Tom",,6,Winter,1999,69-73,Painting Techniques,Step by Step,Fish,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-6-winter-1999.html
Three Dimensional Relief,"Harley Schmitgen carves a ""svelte"" portrait of Civil War General, Robert E. Lee.","Schmitgen, Roger",,,6,Winter,1999,74-79,Relief Carving,Step by Step,People,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-6-winter-1999.html
Chip Carve a Rosette,Rich Notto shares four unique patterns.,"Notto, Rich",,,6,Winter,1999,82-83,Chip Carving,Beginner,Patterns,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-6-winter-1999.html
"Carving Wolves, Foxes &amp; Coyotes","Sneak a peak at Desiree Hajny's new book ""Carving Wolves, Foxes and Coyotes"", which contains advice on anatomy and expressions.","Hajny, Desiree",,,6,Winter,1999,84-86,Book Excerpts,Animals,Realistic,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-6-winter-1999.html
Make an Adjustable Carver's Vise,Build a vise from an old trailer hitch - a clever tip from one of our penny-wise readers.,"Rayburn, Rich",,,6,Winter,1999,87,Tips,Shopmade,Vise,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-6-winter-1999.html
Carving Whimsical Birds,Cute-as-a-button chirpers are carved on wooden eggs.,"Dunkle, Laura Putnam",,,6,Winter,1999,88,Book Excerpts,Birds,Whimsical,,,http://www.foxchapelpublishing.com/magazines/wood-carving-illustrated/wood-carving-illustrated-issue-6-winter-1999.html
The Woodcarvers Retreat in New England:Carving in the Woodlands,Carvers turn out for foliage and instruction in New England.,"Schroeder, Roger",,,7,Spring/Summer,1999,12,Retreats,Tips,News,,,
Mid-America woodcarvers Hold 24th Annual Fall Show,A Nebraska club holds its 24th Annual Show.,WCI Staff,,,7,Spring/Summer,1999,14,Shows,News,Highlights,,,
Carving a Weathered Eye,Jeff Phares breathes life into his carved faces.,"Phares, Jeff",,,7,Spring/Summer,1999,17-21,Pattern Profiles,"Projects, Step by Step",Book Excerpts,People,Eyes,
Western Art,"A thorough researcher, William Churchill captures the spirit of the West.","Schroeder, Roger",,,7,Spring/Summer,1999,26-31,People,Western,Artist Profile,,,
Carving and Painting a Green-Winged Teal Feather - Part 1,Lori Corbett orchestrates feather carving.,"Corbett, Lori",,,7,Spring/Summer,1999,33-35,Birds,Feathers,Artist Profile,,,
Cigar Store Indians,Commercial art once included Native Americans as tobacco shop signs.,"Schroeder, Roger",,,7,Spring/Summer,1999,36-39,Indians,Native Americans,History,,,
Woodcarving and the Boy Scouts,Ayleen Stellhorn covers the history of the Wood Carving Merit Badge.,"Stellhorn, Ayleen",,,7,Spring/Summer,1999,42-45,Pattern Profiles,Miscellaneous,Boy Scouts,,,
Shaping &amp; Texturing Hard Feathers,Frank Russell demonstrates how to texture working feathers.,"Russell, Frank",,,7,Spring/Summer,1999,48-49,Textures,Birds,Feathers,,,
The Early Work of Armand LaMontagne,A premier wood sculptor critiques his early work that paid homage to Native Americans.,"Schroeder, Roger",,,7,Spring/Summer,1999,53-59,People,Indians,Sculptures,,,
Carving a Bison Head: The Realism Comes with the texture,Dale Martin takes on a variety of textures,"Martin, Dale",,,7,Spring/Summer,1999,60-63,"Projects, Step by Step",Animals,Bison,Textures,,
Caricature Carver Andy Anderson: A Broad-Shouldered Inspiration,"Harley Refsal writes about caricature carver, Andy Anderson.","Refsal, Harley",,,7,Spring/Summer,1999,64-69,Caricatures,People,Artist Profile,,,
Carving a Native American Bust: Facing Character and History,Bob Lawrence faces a carving challenge.,"Lawrence, Bob",,,7,Spring/Summer,1999,72-79,Indians,People,Step by Step,Pattern Profiles,,
Turning Swords into Chisels: The Story Behind Japenese Carving Tools,John Mignone shares why they are worth a serious look.,"Mignone, John",,,7,Spring/Summer,1999,81-84,Tools,Japenese,Tips,,,
Carving a Cowboy Head: A taste of the Old West,Peter LeClair makes a corker.,"Leclair, Pete","Kochan, Jack",,7,Spring/Summer,1999,85-91,Caricatures,Step by Step,Pattern Profile,People,,
Carving Among friends - The CCA'a Friendship Cane,"Segments you'll appreciate from the Caircature of America's friendship Cane, plus tips on how you can start your own friendship cane.","Hulst, Naomi",,,8,Fall,1999,109-113,Canes,Walking Sticks,Caricatures,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-8-fall-1999.html
Artistry in Wood Show Report,,"Hulst, Naomi",,,8,Fall,1999,11,Artistry in Wood,Carving Show,Highlights,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-8-fall-1999.html
The Winchester Rifle: Tamer of the Wild West,A symbol of the Old West in an ideal project for novice carvers.,"Stetson, Dave",,,8,Fall,1999,114-119,Step by Step,Pattern Profiles,Miscellaneous,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-8-fall-1999.html
Carver's Paint Box: An Introduction to Acrylic Paints and Primers,Do you painting techniques need a boost? Lori Corbett introduces you to acrylics - the carver's preferred paints.,"Corbett, Lori",,,8,Fall,1999,14-15,Paint,Tips,Technique,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-8-fall-1999.html
Basswood: A Carver-Friendly Wood,It's easy to carve.,"Mignone, John",,,8,Fall,1999,16-19,Wood Reviews,Basswood,Tips,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-8-fall-1999.html
Carving Simple Animals,See last year's winner and how to enter this year's contest.,"Hansen, Herb",,,8,Fall,1999,20-24,Animals,Contests,Highlights,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-8-fall-1999.html
Foredom Blue Stones,New Product Review,"Russell, Frank",,,8,Fall,1999,28-29,Tool Reviews,Power Carving,Tips,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-8-fall-1999.html
Carving Through the Ages - Part 1 The Youngster,Learn to carve a young man's bust with Dave Sabol.,"Sabol, David",,,8,Fall,1999,30-38,"Projects, Step by Step",Pattern Profiles,People,Caricatures,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-8-fall-1999.html
News of WCI's Open House,Our 2nd Annual Open House was a huge success,"Hulst, Naomi",,,8,Fall,1999,4,Fox Chapel's Open House,Welcome,Celebration,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-8-fall-1999.html
Making the Best of Acyrlic Paints,Desiree Hajny demonstrates acrylic effects.,"Hajny, Desiree",,,8,Fall,1999,41-43,Painting Techniques,Tips,Technique,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-8-fall-1999.html
Pineapple - A Sign of Hospitality,Greg Korckta carves and gold leaves a classic symbol.,"Krockta, Greg",,,8,Fall,1999,45-52,Signs,Miscellaneous,Pineapple,Gilding,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-8-fall-1999.html
The Alchemist at Work,Master carver Armand LaMontage reveals common and uncommon painting methods.,"Schroeder, Roger",,,8,Fall,1999,53-57,People,Realistic Figures,Painting Techniques,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-8-fall-1999.html
Alaskan Wildlife - A Carver's Reference Gallery,Don't be without this wilderness wildlife reference.,"Hulst, Naomi",,,8,Fall,1999,60-63,Animals,Wildlife,Gallery,Book Excerpts,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-8-fall-1999.html
Relief Carving: Getting to Know Your Tools,Ivan Whillock teaches the basics.,"Whillock, Ivan",,,8,Fall,1999,64-68,Relief Carving,Step by Step,Artist Profile,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-8-fall-1999.html
Flexcut Contest Winners,The first internet carving contest lets participants vote for their favorite carving.,"Hulst, Naomi",,,8,Fall,1999,6/7/2014,Contests,Gallery,Highlights,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-8-fall-1999.html
Feather Painting - Part 2 A Green Winged Teal Feather,Paint a realistic feather with Lori Corbett,"Corbett, Lori",,,8,Fall,1999,70-74,Painting Techniques,Birds,Feathers,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-8-fall-1999.html
Airbrushes for Woodcarvers,Power Carving Eiditor Frank Russell reviews the latest in airbrushes.,"Russell, Frank",,,8,Fall,1999,76-83,Painting Techniques,Airbrush,Tool Review,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-8-fall-1999.html
Pattern Profile: The Hero of St. Bernard,The patter for this St. Bernard dog comes from Managing Editor - Roger Schroeder's carving collection.,"Schroeder, Roger","Kochan, Jack",,8,Fall,1999,85-87,Animals,Dogs,Pattern Profile,,,http://foxchapelpublishing.com/wood-carving-illustrated-issue-8-fall-1999.html
